fiscal_year,annual_riders,fall_enrollment,anomaly_flag,partial_year,riders_per_100_students
FY11-12,20071,4393,0,0,456.9
FY12-13,82006,4326,1,0,1895.7
FY13-14,17302,4221,0,0,409.9
FY14-15,17992,4041,0,0,445.2
FY15-16,18710,3861,0,0,484.6
FY16-17,22128,3779,0,0,585.6
FY17-18,27054,3736,0,0,724.1
FY18-19,24244,3648,0,0,664.6
FY19-20,21756,3554,0,0,612.2
FY20-21,32992,3159,0,0,1044.4
FY21-22,29824,3015,0,0,989.2
FY22-23,29166,3235,0,0,901.6
FY23-24,30753,3318,0,0,926.9
FY24-25,31306,3339,0,0,937.6
FY25-26,37173,3069,0,1,1211.2
